no,Country,Population,Yearly Change,Net Change,Density  (P/Km²),Land Area (Km²),Net Migration,Fert. Rate,Med. Age,Urban Pop %,World Share
1,China,1439323776.0,0.39,5540090.0,153.0,9388211.0,-348399.0,1.7,38,61.0,18.47
2,India,1380004385.0,0.99,13586631.0,464.0,2973190.0,-532687.0,2.2,28,35.0,17.7
3,United States,331002651.0,0.59,1937734.0,36.0,9147420.0,954806.0,1.8,38,83.0,4.25
4,Indonesia,273523615.0,1.07,2898047.0,151.0,1811570.0,-98955.0,2.3,30,56.0,3.51
5,Pakistan,220892340.0,2.0,4327022.0,287.0,770880.0,-233379.0,3.6,23,35.0,2.83
6,Brazil,212559417.0,0.72,1509890.0,25.0,8358140.0,21200.0,1.7,33,88.0,2.73
7,Nigeria,206139589.0,2.58,5175990.0,226.0,910770.0,-60000.0,5.4,18,52.0,2.64
8,Bangladesh,164689383.0,1.01,1643222.0,1265.0,130170.0,-369501.0,2.1,28,39.0,2.11
9,Russia,145934462.0,0.04,62206.0,9.0,16376870.0,182456.0,1.8,40,74.0,1.87
10,Mexico,128932753.0,1.06,1357224.0,66.0,1943950.0,-60000.0,2.1,29,84.0,1.65
11,Japan,126476461.0,-0.3,-383840.0,347.0,364555.0,71560.0,1.4,48,92.0,1.62
12,Ethiopia,114963588.0,2.57,2884858.0,115.0,1000000.0,30000.0,4.3,19,21.0,1.47
13,Philippines,109581078.0,1.35,1464463.0,368.0,298170.0,-67152.0,2.6,26,47.0,1.41
14,Egypt,102334404.0,1.94,1946331.0,103.0,995450.0,-38033.0,3.3,25,43.0,1.31
15,Vietnam,97338579.0,0.91,876473.0,314.0,310070.0,-80000.0,2.1,32,38.0,1.25
16,DR Congo,89561403.0,3.19,2770836.0,40.0,2267050.0,23861.0,6,17,46.0,1.15
17,Turkey,84339067.0,1.09,909452.0,110.0,769630.0,283922.0,2.1,32,76.0,1.08
18,Iran,83992949.0,1.3,1079043.0,52.0,1628550.0,-55000.0,2.2,32,76.0,1.08
19,Germany,83783942.0,0.32,266897.0,240.0,348560.0,543822.0,1.6,46,76.0,1.07
20,Thailand,69799978.0,0.25,174396.0,137.0,510890.0,19444.0,1.5,40,51.0,0.9
21,United Kingdom,67886011.0,0.53,355839.0,281.0,241930.0,260650.0,1.8,40,83.0,0.87
22,France,65273511.0,0.22,143783.0,119.0,547557.0,36527.0,1.9,42,82.0,0.84
23,Italy,60461826.0,-0.15,-88249.0,206.0,294140.0,148943.0,1.3,47,69.0,0.78
24,Tanzania,59734218.0,2.98,1728755.0,67.0,885800.0,-40076.0,4.9,18,37.0,0.77
25,South Africa,59308690.0,1.28,750420.0,49.0,1213090.0,145405.0,2.4,28,67.0,0.76
26,Myanmar,54409800.0,0.67,364380.0,83.0,653290.0,-163313.0,2.2,29,31.0,0.7
27,Kenya,53771296.0,2.28,1197323.0,94.0,569140.0,-10000.0,3.5,20,28.0,0.69
28,South Korea,51269185.0,0.09,43877.0,527.0,97230.0,11731.0,1.1,44,82.0,0.66
29,Colombia,50882891.0,1.08,543448.0,46.0,1109500.0,204796.0,1.8,31,80.0,0.65
30,Spain,46754778.0,0.04,18002.0,94.0,498800.0,40000.0,1.3,45,80.0,0.6
31,Uganda,45741007.0,3.32,1471413.0,229.0,199810.0,168694.0,5,17,26.0,0.59
32,Argentina,45195774.0,0.93,415097.0,17.0,2736690.0,4800.0,2.3,32,93.0,0.58
